Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
435,"R Mall","Fundamentals of software engineering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=-JNuDwAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=PAGm4TW8kc&sig=98DG838iSYWM3XpPhTKhveDvml4","https://scholar.google.com/scholar?cites=227629719296600558&as_sdt=2005&sciodt=2007&hl=en",1,"2021-04-18 19:41:16","BOOK","","","",,,,,435,145.00,435,1,3,"This new edition of the book, is restructured to trace the advancements made and landmarks achieved in software engineering. The text not only incorporates latest and enhanced software engineering techniques and practices, but also shows how these techniques are …"
1226,"M Brambilla, J Cabot, M Wimmer","Model-driven software engineering in practice",2017,"… on software engineering","morganclaypool.com","https://www.morganclaypool.com/doi/abs/10.2200/S00751ED2V01Y201701SWE004","https://scholar.google.com/scholar?cites=4796079812203773998&as_sdt=2005&sciodt=2007&hl=en",2,"2021-04-18 19:41:16","","","","",,,,,1226,306.50,409,3,4,"This book discusses how model-based approaches can improve the daily practice of software professionals. This is known as Model-Driven Software Engineering (MDSE) or, simply, Model-Driven Engineering (MDE). MDSE practices have proved to increase …"
118,"C Page, HW Six","Software Engineering",2017,"Larsen and Keller Education","repo.mimitlibrary.ac.in","http://repo.mimitlibrary.ac.in:8080/jspui/bitstream/123456789/6319/1/Software%20Engineering%20BS-302.pdf","https://scholar.google.com/scholar?cites=15367625980789631441&as_sdt=2005&sciodt=2007&hl=en",3,"2021-04-18 19:41:16","","","","",,,,,118,29.50,59,2,4,"1. a) What are drawbacks of Spiral Model? b) What is the role of Metrics? c) Write a short note on use case diagrams? d) Define Lattice Model? e) Write a short note on ER diagram? f) Explain software cost estimation in project planning? g) Distinguish between verification & …"
22,"G Booch","The history of software engineering",2018,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8474489/","https://scholar.google.com/scholar?cites=16004828024016130033&as_sdt=2005&sciodt=2007&hl=en",4,"2021-04-18 19:41:16","","","","",,,,,22,7.33,22,1,3,"Grady Booch, one of UML's original authors, offers his perspective on the history of software engineering. This article is part of a theme issue on software engineering's 50th anniversary. The Web Extra, a version of the article with an expanded bibliography, is at https://extras …"
142,"B Kitchenham, L Madeyski, D Budgen, J Keung…","Robust statistical methods for empirical software engineering",2017,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-016-9437-5","https://scholar.google.com/scholar?cites=16050007712165093534&as_sdt=2005&sciodt=2007&hl=en",5,"2021-04-18 19:41:16","HTML","","","",,,,,142,35.50,28,5,4,"There have been many changes in statistical theory in the past 30 years, including increased evidence that non-robust methods may fail to detect important results. The statistical advice available to software engineering researchers needs to be updated to …"
179,"S Amershi, A Begel, C Bird, R DeLine…","Software engineering for machine learning: A case study",2019,"… Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8804457/","https://scholar.google.com/scholar?cites=11063997254432358126&as_sdt=2005&sciodt=2007&hl=en",6,"2021-04-18 19:41:16","","","","",,,,,179,89.50,36,5,2,"Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services. This goal has forced organizations to evolve their development processes. We report on a study …"
59,"RJ Leach","Introduction to software engineering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=qkQPEAAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=DvRntHDOm9&sig=qgorFYLSHXWMZyicpkxKn6rPI7A","https://scholar.google.com/scholar?cites=11520576681072162175&as_sdt=2005&sciodt=2007&hl=en",7,"2021-04-18 19:41:16","BOOK","","","",,,,,59,19.67,59,1,3,"Practical Guidance on the Efficient Development of High-Quality Software Introduction to Software Engineering, Second Edition equips students with the fundamentals to prepare them for satisfying careers as software engineers regardless of future changes in the field …"
48,"KJ Stol, B Fitzgerald","The ABC of software engineering research",2018,"ACM Transactions on Software Engineering and …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3241743","https://scholar.google.com/scholar?cites=8119361925086271130&as_sdt=2005&sciodt=2007&hl=en",8,"2021-04-18 19:41:16","","","","",,,,,48,16.00,24,2,3,"A variety of research methods and techniques are available to SE researchers, and while several overviews exist, there is consistency neither in the research methods covered nor in the terminology used. Furthermore, research is sometimes critically reviewed for …"
59,"A Arpteg, B Brinne, L Crnkovic-Friis…","Software engineering challenges of deep learning",2018,"… Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8498185/","https://scholar.google.com/scholar?cites=3496482124688093322&as_sdt=2005&sciodt=2007&hl=en",9,"2021-04-18 19:41:16","","","","",,,,,59,19.67,15,4,3,"Surprisingly promising results have been achieved by deep learning (DL) systems in recent years. Many of these achievements have been reached in academic settings, or by large technology companies with highly skilled research groups and advanced supporting …"
254,"K Mao, L Capra, M Harman, Y Jia","A survey of the use of crowdsourcing in software engineering",2017,"Journal of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121216301832","https://scholar.google.com/scholar?cites=4911235116192354224&as_sdt=2005&sciodt=2007&hl=en",10,"2021-04-18 19:41:16","","","","",,,,,254,63.50,64,4,4,"The term 'crowdsourcing'was initially introduced in 2006 to describe an emerging distributed problem-solving model by online workers. Since then it has been widely studied and practiced to support software engineering. In this paper we provide a comprehensive survey …"
458,"B Fitzgerald, KJ Stol","Continuous software engineering: A roadmap and agenda",2017,"Journal of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121215001430","https://scholar.google.com/scholar?cites=6651105162622199027&as_sdt=2005&sciodt=2007&hl=en",11,"2021-04-18 19:41:16","","","","",,,,,458,114.50,229,2,4,"Throughout its short history, software development has been characterized by harmful disconnects between important activities such as planning, development and implementation. The problem is further exacerbated by the episodic and infrequent …"
233,"S Porru, A Pinna, M Marchesi…","Blockchain-oriented software engineering: challenges and new directions",2017,"… on Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7965292/","https://scholar.google.com/scholar?cites=17127497357936760395&as_sdt=2005&sciodt=2007&hl=en",12,"2021-04-18 19:41:16","","","","",,,,,233,58.25,58,4,4,"In this work, we acknowledge the need for software engineers to devise specialized tools and techniques for blockchain-oriented software development. Ensuring effective testing activities, enhancing collaboration in large teams, and facilitating the development of smart …"
50,"E Klotins, M Unterkalmsteiner, T Gorschek","Software engineering in start-up companies: An analysis of 88 experience reports",2019,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-018-9620-y","https://scholar.google.com/scholar?cites=13647241592129732808&as_sdt=2005&sciodt=2007&hl=en",13,"2021-04-18 19:41:16","HTML","","","",,,,,50,25.00,17,3,2,"Context Start-up companies have become an important supplier of innovation and software-intensive products. The flexibility and reactiveness of start-ups enables fast development and launch of innovative products. However, a majority of software start-up companies fail …"
18,"T Xie","Intelligent software engineering: Synergy between AI and software engineering",2018,"… Symposium on Dependable Software Engineering …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-99933-3_1","https://scholar.google.com/scholar?cites=16236821269474064541&as_sdt=2005&sciodt=2007&hl=en",14,"2021-04-18 19:41:16","","","","",,,,,18,6.00,18,1,3,"As an example of exploiting the synergy between AI and software engineering, the field of intelligent software engineering has emerged with various advances in recent years. Such field broadly addresses issues on intelligent [software engineering] and [intelligence …"
54,"X Larrucea, A Combelles, J Favaro, K Taneja","Software engineering for the internet of things",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7819384/","https://scholar.google.com/scholar?cites=17219566155485430561&as_sdt=2005&sciodt=2007&hl=en",15,"2021-04-18 19:41:16","","","","",,,,,54,13.50,14,4,4,"No consolidated set of software engineering best practices for the Internet of Things (IoT) has yet emerged. Too often, the landscape resembles the Wild West, with unprepared programmers putting together IoT systems in ad hoc fashion and throwing them out into the …"
123,"NM Devadiga","Software engineering education: Converging with the startup industry",2017,"… IEEE 30th Conference on Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8166702/","https://scholar.google.com/scholar?cites=5616458109104366727&as_sdt=2005&sciodt=2007&hl=en",16,"2021-04-18 19:41:16","","","","",,,,,123,30.75,123,1,4,"Startups are agents of change that bring in innovations and find solutions to problems at various scales. An all-rounded engineering team is a key driver for the ability to execute the entrepreneurial ambition, from building a minimum viable product to later stages of product …"
27,"R Feldt, FG de Oliveira Neto…","Ways of applying artificial intelligence in software engineering",2018,"… in Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8452880/","https://scholar.google.com/scholar?cites=13654440531368902454&as_sdt=2005&sciodt=2007&hl=en",17,"2021-04-18 19:41:16","","","","",,,,,27,9.00,9,3,3,"As Artificial Intelligence (AI) techniques become more powerful and easier to use they are increasingly deployed as key components of modern software systems. While this enables new functionality and often allows better adaptation to user needs it also creates additional …"
155,"D Weyns","Software engineering of self-adaptive systems",2019,"Handbook of Software Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-030-00262-6_11","https://scholar.google.com/scholar?cites=16564559424686728487&as_sdt=2005&sciodt=2007&hl=en",18,"2021-04-18 19:41:16","","","","",,,,,155,77.50,155,1,2,"Modern software systems are expected to operate under uncertain conditions, without interruption. Possible causes of uncertainties include changes in the operational environment, dynamics in the availability of resources, and variations of user goals. The aim …"
25,"Z Kurtanović, W Maalej","On user rationale in software engineering",2018,"Requirements Engineering","Springer","https://link.springer.com/article/10.1007/s00766-018-0293-2","https://scholar.google.com/scholar?cites=7865052171340502194&as_sdt=2005&sciodt=2007&hl=en",19,"2021-04-18 19:41:16","","","","",,,,,25,8.33,13,2,3,"Rationale refers to the reasoning and justification behind human decisions, opinions, and beliefs. In software engineering, rationale management focuses on capturing design and requirements decisions and on organizing and reusing project knowledge. This paper takes …"
45,"M Marques, SF Ochoa, MC Bastarrica…","Enhancing the student learning experience in software engineering project courses",2017,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8026185/","https://scholar.google.com/scholar?cites=13296553634423994744&as_sdt=2005&sciodt=2007&hl=en",20,"2021-04-18 19:41:16","","","","",,,,,45,11.25,11,4,4,"Carrying out real-world software projects in their academic studies helps students to understand what they will face in industry, and to experience first-hand the challenges involved when working collaboratively. Most of the instructional strategies used to help …"
48,"MC Bastarrica, D Perovich…","What can students get from a software engineering capstone course?",2017,"… on Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7964338/","https://scholar.google.com/scholar?cites=11455377213248724860&as_sdt=2005&sciodt=2007&hl=en",21,"2021-04-18 19:41:16","","","","",,,,,48,12.00,16,3,4,"For the last ten years we have been teaching a capstone course for fifth year students of the Computer Science Department of the Universidad de Chile. Five year ago we redesigned the course, shifting from projects following a waterfall process and focused on technical …"
25,"H Munir, P Runeson, K Wnuk","A theory of openness for software engineering tools in software organizations",2018,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S095058491730513X","https://scholar.google.com/scholar?cites=937515266097712374&as_sdt=2005&sciodt=2007&hl=en",22,"2021-04-18 19:41:16","","","","",,,,,25,8.33,8,3,3,"Context The increased use of Open Source Software (OSS) affects how software-intensive product development organizations (SIPDO) innovate and compete, moving them towards Open Innovation (OI). Specifically, software engineering tools have the potential for OI, but …"
63,"L Briand, D Bianculli, S Nejati, F Pastore…","The case for context-driven software engineering research: Generalizability is overrated",2017,"… Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8048656/","https://scholar.google.com/scholar?cites=10921480967006009171&as_sdt=2005&sciodt=2007&hl=en",23,"2021-04-18 19:41:16","","","","",,,,,63,15.75,13,5,4,"For software engineering research to increase its impact and steer our community toward a more successful future, it must foster context-driven research. Such research focuses on problems defined in collaboration with industrial partners and is driven by concrete needs in …"
31,"VMF Fonseca, J Gomez","Applying active methodologies for teaching software engineering in computer engineering",2017,"IEEE Revista Iberoamericana de …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8240851/","https://scholar.google.com/scholar?cites=6693539628123335844&as_sdt=2005&sciodt=2007&hl=en",24,"2021-04-18 19:41:16","","","","",,,,,31,7.75,16,2,4,"The traditional teaching-learning processes used by Chilean universities are changing. This document describes two innovative strategies applied to teach software engineering (SE) at two universities in Chile. Teaching experiences are part of our ongoing effort to improve the …"
38,"A Ampatzoglou, S Bibi, P Avgeriou, M Verbeek…","Identifying, categorizing and mitigating threats to validity in software engineering secondary studies",2019,"… and Software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584918302106","https://scholar.google.com/scholar?cites=1765778293609870110&as_sdt=2005&sciodt=2007&hl=en",25,"2021-04-18 19:41:16","","","","",,,,,38,19.00,8,5,2,"Context Secondary studies are vulnerable to threats to validity. Although, mitigating these threats is crucial for the credibility of these studies, we currently lack a systematic approach to identify, categorize and mitigate threats to validity for secondary studies. Objective In this …"
45,"V Efstathiou, C Chatzilenas, D Spinellis","Word embeddings for the software engineering domain",2018,"… conference on mining software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3196398.3196448","https://scholar.google.com/scholar?cites=14800844911689497958&as_sdt=2005&sciodt=2007&hl=en",26,"2021-04-18 19:41:16","","","","",,,,,45,15.00,15,3,3,"The software development process produces vast amounts of textual data expressed in natural language. Outcomes from the natural language processing community have been adapted in software engineering research for leveraging this rich textual information; these …"
11,"L Zhang, JH Tian, J Jiang, YJ Liu, MY Pu…","Empirical research in software engineering—a literature survey",2018,"Journal of Computer …","Springer","https://link.springer.com/article/10.1007/s11390-018-1864-x","https://scholar.google.com/scholar?cites=9910265893347090829&as_sdt=2005&sciodt=2007&hl=en",27,"2021-04-18 19:41:16","","","","",,,,,11,3.67,2,6,3,"Empirical research is playing a significant role in software engineering (SE), and it has been applied to evaluate software artifacts and technologies. There have been a great number of empirical research articles published recently. There is also a large research community in …"
17,"NR Tadapaneni","Artificial Intelligence In Software Engineering",2017,"Available at SSRN 3591807","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3591807","https://scholar.google.com/scholar?cites=8154252031452509341&as_sdt=2005&sciodt=2007&hl=en",28,"2021-04-18 19:41:16","","","","",,,,,17,4.25,17,1,4,"In the last few years, there has been a growing surge for the interest in the application of artificial intelligence in issues in Software Engineering (SE). Artificial Intelligence has become a much powerful and easy to use as they are increasingly deployed for different key …"
28,"J Cabot, R Clarisó, M Brambilla, S Gérard","Cognifying model-driven software engineering",2017,"… Conferences on Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-74730-9_13","https://scholar.google.com/scholar?cites=12796985235115154460&as_sdt=2005&sciodt=2007&hl=en",29,"2021-04-18 19:41:16","","","","",,,,,28,7.00,7,4,4,"The limited adoption of Model-Driven Software Engineering (MDSE) is due to a variety of social and technical factors, which can be summarized in one: its (real or perceived) benefits do not outweigh its costs. In this vision paper we argue that the cognification of MDSE has …"
23,"A Akbulut, C Catal, B Yıldız","On the effectiveness of virtual reality in the education of software engineering",2018,"… Applications in Engineering …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cae.21935","https://scholar.google.com/scholar?cites=13004934133242271219&as_sdt=2005&sciodt=2007&hl=en",30,"2021-04-18 19:41:16","","","","",,,,,23,7.67,8,3,3,"The popularity of virtual reality headsets have been rapidly increasing. With this technology, students can efficiently interact with the course content and learn the material faster than the traditional methodologies. In addition to this benefit, virtual reality devices also draw the …"
116,"R Jongeling, P Sarkar, S Datta, A Serebrenik","On negative results when using sentiment analysis tools for software engineering research",2017,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-016-9493-x","https://scholar.google.com/scholar?cites=7259599041020226321&as_sdt=2005&sciodt=2007&hl=en",31,"2021-04-18 19:41:16","HTML","","","",,,,,116,29.00,29,4,4,"Recent years have seen an increasing attention to social aspects of software engineering, including studies of emotions and sentiments experienced and expressed by the software developers. Most of these studies reuse existing sentiment analysis tools such as …"
15,"S Baltes, P Ralph","Sampling in software engineering research: A critical review and guidelines",2020,"arXiv preprint arXiv:2002.07764","arxiv.org","https://arxiv.org/abs/2002.07764","https://scholar.google.com/scholar?cites=17915170608942263269&as_sdt=2005&sciodt=2007&hl=en",32,"2021-04-18 19:41:16","","","","",,,,,15,15.00,8,2,1,"Representative sampling appears rare in software engineering research. Not all studies need representative samples, but a general lack of representative sampling undermines a scientific field. This study therefore investigates the state of sampling in recent, high-quality …"
14,"S Al-Fedaghi","Five generic processes for behavior description in software engineering",2019,"arXiv preprint arXiv:1907.11893","arxiv.org","https://arxiv.org/abs/1907.11893","https://scholar.google.com/scholar?cites=3170137935206640547&as_sdt=2005&sciodt=2007&hl=en",33,"2021-04-18 19:41:16","","","","",,,,,14,7.00,14,1,2,"Behavior modeling and software architecture specification are attracting more attention in software engineering. Describing both of them in integrated models yields numerous advantages for coping with complexity since the models are platform independent. They can …"
11,"BA Grüning, S Lampa, M Vaudel, D Blankenberg","Software engineering for scientific big data analysis",2019,"GigaScience","academic.oup.com","https://academic.oup.com/gigascience/article-pdf/doi/10.1093/gigascience/giz054/28698071/giz054.pdf","https://scholar.google.com/scholar?cites=7481037706258256839&as_sdt=2005&sciodt=2007&hl=en",34,"2021-04-18 19:41:16","PDF","","","",,,,,11,5.50,3,4,2,"The increasing complexity of data and analysis methods has created an environment where scientists, who may not have formal training, are finding themselves playing the impromptu role of software engineer. While several resources are available for introducing scientists to …"
130,"G Destefanis, M Marchesi, M Ortu…","Smart contracts vulnerabilities: a call for blockchain software engineering?",2018,"… Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8327567/","https://scholar.google.com/scholar?cites=5719027983636394018&as_sdt=2005&sciodt=2007&hl=en",35,"2021-04-18 19:41:16","","","","",,,,,130,43.33,33,4,3,"Smart Contracts have gained tremendous popularity in the past few years, to the point that billions of US Dollars are currently exchanged every day through such technology. However, since the release of the Frontier network of Ethereum in 2015, there have been many cases …"
21,"C Sadowski, T Zimmermann","Rethinking productivity in software engineering",2019,"","library.oapen.org","https://library.oapen.org/handle/20.500.12657/22839","https://scholar.google.com/scholar?cites=6099338681405696971&as_sdt=2005&sciodt=2007&hl=en",36,"2021-04-18 19:41:16","BOOK","","","",,,,,21,10.50,11,2,2,"Get the most out of this foundational reference and improve the productivity of your software teams. This open access book collects the wisdom of the 2017"" Dagstuhl"" seminar on productivity in software engineering, a meeting of community leaders, who came together …"
20,"B Unhelkar","Software engineering with uml",2017,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LQZDDwAAQBAJ&oi=fnd&pg=PT24&dq=software+engineering&ots=Zi9VlU7KZd&sig=5DUAnSkDhvIpGSALJ7HBgFoTgY4","https://scholar.google.com/scholar?cites=16419789411387246451&as_sdt=2005&sciodt=2007&hl=en",37,"2021-04-18 19:41:16","BOOK","","","",,,,,20,5.00,20,1,4,"This book presents the analysis, design, documentation, and quality of software solutions based on the OMG UML v2. 5. Notably it covers 14 different modelling constructs including use case diagrams, activity diagrams, business-level class diagrams, corresponding …"
62,"F Zambonelli","Key abstractions for IoT-oriented software engineering",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7819396/","https://scholar.google.com/scholar?cites=6966676075839744924&as_sdt=2005&sciodt=2007&hl=en",38,"2021-04-18 19:41:16","","","","",,,,,62,15.50,62,1,4,"Despite the progress in Internet of Things (IoT) research, a general software engineering approach for systematic development of IoT systems and applications is still missing. A synthesis of the state of the art in the area can help frame the key abstractions related to …"
19,"H Washizaki, H Uchida, F Khomh…","Studying software engineering patterns for designing machine learning systems",2019,"… Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8945075/","https://scholar.google.com/scholar?cites=6342503486237192815&as_sdt=2005&sciodt=2007&hl=en",39,"2021-04-18 19:41:16","","","","",,,,,19,9.50,5,4,2,"Machine-learning (ML) techniques are becoming more prevalent. ML techniques rely on mathematics and software engineering. Researchers and practitioners studying best practices strive to design ML systems and software that address software complexity and …"
12,"Z Sharafi, B Sharif, YG Guéhéneuc, A Begel…","A practical guide on conducting eye tracking studies in software engineering",2020,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09829-4","https://scholar.google.com/scholar?cites=16051661804440525446&as_sdt=2005&sciodt=2007&hl=en",40,"2021-04-18 19:41:16","","","","",,,,,12,12.00,2,5,1,"For several years, the software engineering research community used eye trackers to study program comprehension, bug localization, pair programming, and other software engineering tasks. Eye trackers provide researchers with insights on software engineers' …"
11,"M Staron","Action Research in Software Engineering",2020,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-030-32610-4.pdf","https://scholar.google.com/scholar?cites=16000204140790615546&as_sdt=2005&sciodt=2007&hl=en",41,"2021-04-18 19:41:16","BOOK","","","",,,,,11,11.00,11,1,1,"Every scientist has his and her own favorite research topics, types of studies, and research methodology. It's natural, and it's something that is very important for all kinds of researchers. I see it as a part of academic freedom. For me, the favorite research methodology is action …"
30,"AN Ghazi, K Petersen, SSVR Reddy, H Nekkanti","Survey research in software engineering: Problems and mitigation strategies",2018,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8533319/","https://scholar.google.com/scholar?cites=15235629582378186719&as_sdt=2005&sciodt=2007&hl=en",42,"2021-04-18 19:41:16","","","","",,,,,30,10.00,8,4,3,"Background: The need for empirical investigations in software engineering is growing. Many researchers nowadays, conduct and validate their solutions using empirical research. The Survey is an empirical method which enables researchers to collect data from a large …"
25,"E Winter, S Forshaw, MA Ferrario","Measuring human values in software engineering",2018,"… on Empirical Software Engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3239235.3267427","https://scholar.google.com/scholar?cites=5475093738650344194&as_sdt=2005&sciodt=2007&hl=en",43,"2021-04-18 19:41:16","","","","",,,,,25,8.33,8,3,3,"Background: Human values, such as prestige, social justice, and financial success, influence software production decision-making processes. While their subjectivity makes some values difficult to measure, their impact on software motivates our research. Aim: To …"
36,"V Garousi, G Giray, E Tuzun, C Catal…","Closing the gap between software engineering education and industrial needs",2019,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8664487/","https://scholar.google.com/scholar?cites=1106036066154396192&as_sdt=2005&sciodt=2007&hl=en",44,"2021-04-18 19:41:16","","","","",,,,,36,18.00,7,5,2,"Many recent software engineering graduates often face difficulties when beginning their professional careers, due to misalignment of the skills learned in their university education with what is needed in industry. In this article, we report a literature review of the studies that …"
39,"N Alshahwan, X Gao, M Harman, Y Jia, K Mao…","Deploying search based software engineering with Sapienz at Facebook",2018,"… Software Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-319-99241-9_1","https://scholar.google.com/scholar?cites=6513715295229843952&as_sdt=2005&sciodt=2007&hl=en",45,"2021-04-18 19:41:16","HTML","","","",,,,,39,13.00,7,6,3,"We describe the deployment of the Sapienz Search Based Software Engineering (SBSE) testing system. Sapienz has been deployed in production at Facebook since September 2017 to design test cases, localise and triage crashes to developers and to monitor their …"
19,"Y Yang, D Falessi, T Menzies, J Hihn","Actionable analytics for software engineering",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8239931/","https://scholar.google.com/scholar?cites=10869265580869900738&as_sdt=2005&sciodt=2007&hl=en",46,"2021-04-18 19:41:16","","","","",,,,,19,4.75,5,4,4,"Although intensive research on software analytics has been going on for nearly a decade, a repeated complaint in software analytics is that industrial practitioners find it hard to apply the results generated from data science. This theme issue aims to reflect on actionable …"
72,"RA Maurício, L Veado, RT Moreira, E Figueiredo…","A systematic mapping study on game-related methods for software engineering education",2018,"Information and software …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584917303518","https://scholar.google.com/scholar?cites=1857286907707008172&as_sdt=2005&sciodt=2007&hl=en",47,"2021-04-18 19:41:16","","","","",,,,,72,24.00,14,5,3,"Context The use of games in software engineering education is not new. However, recent technologies have provided new opportunities for using games and their elements to enhance learning and student engagement. Objective The goal of this paper is twofold. First …"
27,"A García-Holgado, FJ García-Peñalvo…","Pilot experience applying an active learning methodology in a Software Engineering classroom",2018,"… Global Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8363331/","https://scholar.google.com/scholar?cites=7934284923787735941&as_sdt=2005&sciodt=2007&hl=en",48,"2021-04-18 19:41:16","","","","",,,,,27,9.00,9,3,3,"Software Engineering I is a mandatory subject for undergraduate students that is taught in the second semester of the 2nd year of the Degree in Computer Sciences at the University of Salamanca (Spain). This degree exists since 1989 but it has transformed over time …"
16,"VS Sharma, R Mehra, V Kaulgud…","An immersive future for software engineering: Avenues and approaches",2018,"… on Software Engineering …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3183399.3183414","https://scholar.google.com/scholar?cites=17139618889921429453&as_sdt=2005&sciodt=2007&hl=en",49,"2021-04-18 19:41:16","","","","",,,,,16,5.33,4,4,3,"Software systems are increasingly becoming more intricate and complex, necessitating new ways to be able to comprehend and visualize them. At the same time, the nature of software engineering teams itself is changing with people playing more fluid roles often needing …"
11,"N Wolfram, P Lago, F Osborne","Sustainability in software engineering",2017,"2017 Sustainable Internet and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8379798/","https://scholar.google.com/scholar?cites=18246896674635715265&as_sdt=2005&sciodt=2007&hl=en",50,"2021-04-18 19:41:16","","","","",,,,,11,2.75,4,3,4,"The intersection between software engineering research and the problems related to sustainability and green IT has been the subject of increasing attention. In spite of that, we observe that sustainability is still not clearly defined, or understood, in the field of software …"
